text,author,image_path,likes,replies,views,url
"Stijn Noorman
@stijnnoorman
·
"Haider.
@slow_developer
·
4h
now i want to lose my job to AI... 
13
13
128
5.7K",slow_developer,,128,13,0,https://twitter.com/slow_developer/status/1949700092208075241,2025-07-28T15:38:52.104537
"Riya Dev
@ceoRiya
·
17h
we ship at different levels.
37
130
4.8K",ceoRiya,,130,37,0,https://twitter.com/ceoRiya/status/1949508291396026612,2025-07-28T15:39:37.464047
"Tibor
@ItsTibor
·
2h
Count your failures.

Collect as many as you can.

Don’t see it as negative.

See it as a game.
27
1
32
254",ItsTibor,,66,17,0,https://twitter.com/jordwalke/status/1949645344452829220,2025-07-28T15:41:55.184778
"Tibor
@ItsTibor
·
2h
Count your failures.

Collect as many as you can.

Don’t see it as negative.

See it as a game.
27
1
32
254",ItsTibor,,32,27,0,https://twitter.com/ItsTibor/status/1949741619965837532,2025-07-28T15:43:09.870615
"Tibor
@ItsTibor
·
2h
Count your failures.

Collect as many as you can.

Don’t see it as negative.

See it as a game.
28
1
33
286",ItsTibor,,31,19,0,https://twitter.com/sumandeyco/status/1949452112863039885,2025-07-28T15:45:24.419481
"Startup Community
Suman
@sumandeyco
·
21h
Startups don’t fail because of bad ideas. They fail because the founder disappears when it gets hard.
19
3
32
2K",,,0,17,0,https://twitter.com/jordwalke/status/1949645344452829220,2025-07-28T15:48:14.331519
"Pranjali Awasthi
@raidingAI
·
2h
we're too Gen Z to succeed in B2B SaaS 
10
33
1.3K",raidingAI,,33,10,0,https://twitter.com/raidingAI/status/1949736805517144192,2025-07-28T15:49:28.932679
"Haider.
@slow_developer
·
13h
is it even possible for an AI system to develop consciousness at some point?

we may set boundaries,

but what if AI could potentially surpass them
111
17
135
12K",slow_developer,,135,111,0,https://twitter.com/slow_developer/status/1949579296369999927,2025-07-28T15:55:30.176997
"Haider.
@slow_developer
·
13h
is it even possible for an AI system to develop consciousness at some point?

we may set boundaries,

but what if AI could potentially surpass them
111
17
136
12K",slow_developer,,364,61,0,https://twitter.com/0xIlyy/status/1949595315759145250,2025-07-28T15:58:12.265061
"Abhinav
@Abhinavstwt
·
6h
what's stopping you from coding like him?
21
1
59
2.6K",Abhinavstwt,,59,21,0,https://twitter.com/Abhinavstwt/status/1949681721340780874,2025-07-28T15:59:03.125018
"Kion
@WagieWeeb
·
15h
What's the most messed up thing you've seen online?
69
5
73
6.6K",WagieWeeb,,73,69,0,https://twitter.com/WagieWeeb/status/1949537899810099378,2025-07-28T16:00:39.726586
"Jay Yang
@Jayyanginspires
·
8h
Successful people are consistent. Those that aren't, don't last long.
41
8
141
3.9K",Jayyanginspires,,141,41,0,https://twitter.com/Jayyanginspires/status/1949646239630561786,2025-07-28T16:04:44.748503
"Kevin Szabo
@KevinSzabo14
·
9h
“Quiet people” are actually talkative around the right people. Why is that?
217
37
453
19K",KevinSzabo14,,453,217,0,https://twitter.com/KevinSzabo14/status/1949639942327431172,2025-07-28T16:08:31.998432
"Shefali
@Shefali__J
·
6h
Difficult doesn’t mean impossible.

Good morning, everyone
15
1
32
813",Shefali__J,,32,15,0,https://twitter.com/Shefali__J/status/1949675138644918550,2025-07-28T16:09:16.117173
"Bindu Reddy
@bindureddy
·
8h
My advice to my nephew who is in high school 

- learn to vibe code 
- use deep research to deep dive into topics 
- try different LLMs and models and understand how they are different 
- mind meld with AI to solve problems 

You will be one of the super heroes of tomorrow
73
40
422
22K",bindureddy,,422,73,0,https://twitter.com/bindureddy/status/1949648741650022687,2025-07-28T16:12:40.343323
"Shefali
@Shefali__J
·
6h
Difficult doesn’t mean impossible.

Good morning, everyone
15
1
36
899",Shefali__J,,58,14,0,https://twitter.com/ManOfFocus_/status/1949745065490108859,2025-07-28T16:15:08.329359
"Machine Learning
Saranya
@sarrranyaa
·
Jul 26
I feel like… VS Code >>> Jupyter Notebook 
Anyone else or just me??
42
18
266
23K",,,266,42,0,https://twitter.com/sarrranyaa/status/1949109420522430583,2025-07-28T16:17:59.627081
"@Urstrulysai
@BrahmaSai77
·
23h
Born To Play The Character ? I’ll start :
974
633
10K
783K",BrahmaSai77,,0,974,0,https://twitter.com/BrahmaSai77/status/1949427373834711422,2025-07-28T16:21:55.021399
"Sumit
@isumitallup
·
23h
If you feel guilty for resting on Sunday:

Congrats!

You’ve been brainwashed by hustle bros.

Somewhere along the way...

You confused exhaustion with excellence.

Rest isn’t lazy. 
Rest is sharpening the blade.

See you Monday. 
Sharper than ever.
27
1
40
555",isumitallup,,40,27,0,https://twitter.com/isumitallup/status/1949427234336379381,2025-07-28T16:23:45.770665
"Build That Idea
@buildthatidea
·
5h
drop your website below, and i’ll give you one growth tip to help you get more users.
64
1
82
4.9K",buildthatidea,,82,64,0,https://twitter.com/buildthatidea/status/1949700733764264401,2025-07-28T16:24:24.961139
"Oliver
@Oliver_Clingain
·
7h
I used to say yes to every opportunity.

Then I realized -

Saying yes to the wrong things DRAINS my energy and focus.

Saying no is scary, but necessary.

Since then?

My business (and sanity) have both improved.

Protect your time like it’s gold.

Because tbh it's worth way
Show more
28
1
34
390",Oliver_Clingain,,34,28,0,https://twitter.com/Oliver_Clingain/status/1949675430232916193,2025-07-28T16:26:34.960447
"Build in Public
Ky-Nam
@withkynam
·
3h
my first internet money just got paid to my bank

i have been coding for 4 years, building apps for 2 

every single one of them failed

my girl left me, almost got kicked out of uni, 0$ in savings

2 months ago, i decided to try again

connecting with builders, screaming abt my
Show more
16
1
32
521",,,32,16,0,https://twitter.com/withkynam/status/1949735179293012081,2025-07-28T16:27:41.150967
"Haider.
@slow_developer
·
21h
AI isn't hype

it's a revolution bigger than any before.

the pace will keep accelerating,

and could lead to war, AI dominance, or breakthroughs like advanced space and sci-fi-level tech

but there's no pause button; this won't slow down
41
19
164
9.1K",slow_developer,,164,41,0,https://twitter.com/slow_developer/status/1949459759339315291,2025-07-28T16:32:40.209090
"Shreya.tsx
@Life_of_coder
·
6h
Why Mac user never switch back to windows ???
19
35
2.7K",Life_of_coder,,35,19,0,https://twitter.com/Life_of_coder/status/1949688507523387876,2025-07-28T16:35:46.075969
"Linuxopsys
@linuxopsys
·
18h
People who feel superior:  
- Linux users  
- VIM users 
- Dark theme users 
- Mac users
285
168
1.8K
83K",linuxopsys,,0,285,0,https://twitter.com/linuxopsys/status/1949509521136619620,2025-07-28T16:36:37.017838
"Stijn Noorman
@stijnnoorman
·
3h
Imagine you're a doctor.

And your business is your patient.

It comes to you with some complaints:

• Low engagement
• Low audience growth
• Low-quality leads
• Low email opens
• Low sales

These are his symptoms.

They cause pain.

But they're not the root problem.

As the
Show more
28
3
47
1.3K",stijnnoorman,,47,28,0,https://twitter.com/stijnnoorman/status/1949734223893479579,2025-07-28T16:37:26.405826
"serial
@serialdotai
·
18h
I don't trust accounts without anime pfp
77
8
165
6.4K",heyseb_,,47,21,0,https://twitter.com/heyseb_/status/1949598173116407914,2025-07-28T16:42:40.220127
"Peter H. Diamandis, MD
@PeterDiamandis
·
19h
AI is so much bigger than the internet...
221
168
1.4K
83K",PeterDiamandis,,0,28,0,https://twitter.com/stijnnoorman/status/1949734223893479579,2025-07-28T16:45:32.158307
"Bindu Reddy
@bindureddy
·
19h
While the hype about GPT-5 is going out of control, Deepseek has been abnormally quiet 

They have a lot of training data and R2 is bound to be very good 

It will make open source competitive with GPT-5
25
12
151
10K",bindureddy,,151,25,0,https://twitter.com/bindureddy/status/1949489093941088482,2025-07-28T16:47:52.978055
"Philosophy Of Life
@PhilOfLife_
·
48m
my favorite person turned into a lesson.
11
10
102
4.8K",PhilOfLife_,,165,77,0,https://twitter.com/serialdotai/status/1949503453513781501,2025-07-28T16:50:24.892957
"Peter H. Diamandis, MD
@PeterDiamandis
·
19h
AI is so much bigger than the internet...
223
172
1.4K
84K",PeterDiamandis,,0,223,0,https://twitter.com/PeterDiamandis/status/1949495539004797373,2025-07-28T16:53:43.848521
"Maham Khan
@Tehreem68829672
·
19h
What qualities do you want in your life partner?
143
28
122
9.1K",Tehreem68829672,,122,143,0,https://twitter.com/Tehreem68829672/status/1949500506591940743,2025-07-28T17:02:52.262543
"Santiago
@svpino
·
18h
Stop the nonsense.

Don't build an AI Agent unless there's no other alternative.

For most applications, you'll be better off:

1. With a simple rule-based system
2. Upgrade to static models when complexity increases
3. Implement simple, well-prompted LLM calls
4. Build an
Show more
74
92
813
74K",svpino,,813,74,0,https://twitter.com/svpino/status/1949510209296298333,2025-07-28T17:05:07.947036
"Sahil Lavingia
@shl
·
22h
The best founders are in their 20s and 50s
170
62
1.1K
77K",shl,,0,170,0,https://twitter.com/shl/status/1949447975337386343,2025-07-28T17:13:46.734432
"Peter H. Diamandis, MD
@PeterDiamandis
·
20h
AI is so much bigger than the internet...
225
173
1.4K
84K",PeterDiamandis,,91,19,0,https://twitter.com/dannypostmaa/status/1949755657185554702,2025-07-28T17:16:23.693267
"keshav
@kshvbgde
·
21h
The society if TailwindCSS didn’t exist:
5
3
69
5.4K",kshvbgde,,72,28,0,https://twitter.com/rand_longevity/status/1949662343815905685,2025-07-28T17:39:09.451690
"Rob Hallam
@robj3d3
·
5h
I just realized something insane 

Now that I've built the best AI writing engine on the market

I can conquer any platform, not just X

Get your popcorn ready 
19
46
2.6K",robj3d3,,46,19,0,https://twitter.com/robj3d3/status/1949719178505809928,2025-07-28T17:44:30.839216
"VraserX e/acc
@VraserX
·
Jul 27
GPT-5 will be released on Thursday, the 31st of July.
110
149
1.4K
155K",VraserX,,0,110,0,https://twitter.com/VraserX/status/1949344804036350014,2025-07-28T17:47:39.587179
"Catalin
@catalinmpit
·
22h
AI capabilities

Frontend: decent to good
Backend: okish
DevOps: inexistent
33
8
103
7.7K",catalinmpit,,103,33,0,https://twitter.com/catalinmpit/status/1949457702897471576,2025-07-28T17:55:40.606678
"Klaas
@forgebitz
·
17h
the problem with vibe coding is that sometimes you get an amazing result 

like perfect code, everything as it should be 

the next time it tries to reset your database
60
11
161
8.9K",forgebitz,,161,60,0,https://twitter.com/forgebitz/status/1949546359519932655,2025-07-28T18:07:50.489256
"Build in Public
Israel
@IFirew91900
·
33m
In X you post or tweet?
18
1
13
836",,,13,18,0,https://twitter.com/IFirew91900/status/1949803970941075754,2025-07-28T18:12:30.771689
"Haider.
@slow_developer
·
2h
most people think AGI means many human-level systems

but once AI can improve itself, it quickly becomes superhuman

we don't know what that would look like

it's like creating a super-smart system that may see things very differently from us
26
14
79
3.9K",slow_developer,,79,26,0,https://twitter.com/slow_developer/status/1949780093624299886,2025-07-28T18:14:59.274189
"Divya
@MasalaMoodz
·
3h
Define your life in one word?
48
9
115
2.4K",MasalaMoodz,,115,48,0,https://twitter.com/MasalaMoodz/status/1949760226493641189,2025-07-28T18:18:28.647894
"Philosophy Of Life
@PhilOfLife_
·
20h
Can a true love change you?
48
38
187
16K",PhilOfLife_,,187,48,0,https://twitter.com/PhilOfLife_/status/1949507574824607811,2025-07-28T18:21:48.113736
"Mind Haste 
@MindHaste
·
5h
What is your favorite book?
18
4
33
5.1K",MindHaste,,33,18,0,https://twitter.com/MindHaste/status/1949734065860727033,2025-07-28T18:26:23.036185
"atulit
@atulit_gaur
·
37m
Career update:

Started an internship as an AI research engineer, gonna be working on some really interesting stuff over the course of the next 3 months !!
21
64
1.2K",atulit_gaur,,64,21,0,https://twitter.com/atulit_gaur/status/1949806566066045148,2025-07-28T18:29:13.592090
"Dakota Robertson
@WrongsToWrite
·
47m
Writing tip:

You really don't need to use the word ""really"" in your writing.
33
45
1.7K",WrongsToWrite,,45,33,0,https://twitter.com/WrongsToWrite/status/1949804792995254479,2025-07-28T18:29:59.633611
"Build in Public
Ale
@FalcoAleDev
·
2h
How to build LinkedIn in a better way?
13
14
665",,,14,13,0,https://twitter.com/FalcoAleDev/status/1949787028905767390,2025-07-28T18:33:17.438131
"Build in Public
Phillip | Academize 
@PhillyJSmith
·
15h
You’ll second-guess everything:
The niche.
The product.
Even your ability to pull it off.

Not because you’re wrong,
but because no one’s validating you yet.

you shouldn’t need applause to keep going
22
5
51
1.5K",,,51,22,0,https://twitter.com/PhillyJSmith/status/1949580564706771085,2025-07-28T18:36:32.478478
"Build in Public
Tushar (leadlee.co)
@TusharKapil003
·
8h
Tea or Coffee, what keeps you sane?
54
3
44
3.2K",,,44,54,0,https://twitter.com/TusharKapil003/status/1949686738802364768,2025-07-28T18:38:59.537362
"‎Wojak Codes
@wojakcodes
·
2h
does X have a QA team? I highly doubt it
23
3
57
3.5K",wojakcodes,,57,23,0,https://twitter.com/wojakcodes/status/1949780301594706426,2025-07-28T18:42:03.826945
"Build in Public
Soham
@soham_nayak04
·
16h
It's 2 am, ordered some food and I'm still locked in! Are you locked in right now?
32
1
44
3.5K",,,44,32,0,https://twitter.com/soham_nayak04/status/1949567776206573804,2025-07-28T18:44:28.515259
"‎Wojak Codes
@wojakcodes
·
17h
I don’t like tech bros whose whole personality revolves around tech buzz words.
11
2
106
3.4K",wojakcodes,,106,11,0,https://twitter.com/wojakcodes/status/1949549536189579744,2025-07-28T18:46:54.364113
"Siddharth
@SiddharthS0702
·
2h
I didn't start my personal brand to be famous.

I just thought:

I want to control my life and my income.

And I achieved that. All I needed?

A laptop and wifi. 

If I can, so can you.
33
2
46
806",SiddharthS0702,,46,33,0,https://twitter.com/SiddharthS0702/status/1949779367065977296,2025-07-28T18:49:23.847668
"jack friks
@jackfriks
·
1h
i’m such a noob holy shit hahahaha
23
2
47
4K",jackfriks,,47,23,0,https://twitter.com/jackfriks/status/1949806376152154317,2025-07-28T18:51:57.351380
"Joshua
@CreeCoder
·
1h
Do you like the new algorithm ???
32
37
1.3K",CreeCoder,,37,32,0,https://twitter.com/CreeCoder/status/1949803192704778381,2025-07-28T18:52:48.778139
"Leila Hormozi
@LeilaHormozi
·
7m
Your biggest enemy isn’t your competition. It’s the distractions and excuses you refuse to let go of.
33
9
92
1.3K",LeilaHormozi,,98,33,0,https://twitter.com/LeilaHormozi/status/1949820944211493063,2025-07-28T18:54:17.585996
"Build in Public
Brex
@ImpactXpert
·
6h
I built 1K+ followers by ignoring every ""growth hack"" out there. 

Instead: 

• Replied to worthy comments
• Shared my mistakes
• Asked questions I genuinely cared about

The secret isn't chasing numbers.

It's actually caring about people.

What's worked best for you?
45
71
2.1K",,,71,45,0,https://twitter.com/ImpactXpert/status/1949730464484258224,2025-07-28T18:55:02.062301
"Can Vardar
@icanvardar
·
2h
new macbook just dropped. what’s the first thing i should install?
Steve Jobs
43
2
63
4.6K",icanvardar,,63,43,0,https://twitter.com/icanvardar/status/1949780335366926671,2025-07-28T19:00:05.883393
"Build in Public
Samuel Rondot
@samuelrdt
·
4h
It feels strange seing yourself on YouTube homepage
19
51
1.7K",,,51,19,0,https://twitter.com/samuelrdt/status/1949749911202763103,2025-07-28T19:01:27.248533
"Build in Public
Hasan C.
@HsanC_
·
5h
JUST HIT 1.5K+ FOLLOWERS!! 

It took me 3 months to get here.

Since then:
> Launched my SaaS
> Made $398.86
> Learned a lot on marketing
> Built real connections

I’m grateful to be a part of this community!
70
5
199
5.5K",,,199,70,0,https://twitter.com/HsanC_/status/1949744279246766392,2025-07-28T19:04:01.032835
"CHIDINMA
@cruisequeeeen
·
5h
What’s cheaper than therapy ???
346
220
425
162K",cruisequeeeen,,425,346,0,https://twitter.com/cruisequeeeen/status/1949740396394709418,2025-07-28T19:04:47.853107
"Build in Public
Dan.
@TeeDevh
·
20h
Revenue over the past 6 months as a solo indie hacker:

Feb:  $105
Mar:  $80
Apr:  $9.8
May: $10
Jun:  $254
Jul:    $590

Last 2 months made more than all previous 4 months combined.

What I learned:
- Show your paid features early
- Build around what people will pay for
- Don’t
Show more
11
4
56
3.4K",,,56,11,0,https://twitter.com/TeeDevh/status/1949509991737512260,2025-07-28T19:07:06.583835
"Build in Public
Tom Han
@tomhan245
·
1h
50 days ago, I started building in public:

- 25 followers
- 0 startups
- 0 revenue

Now:

- 875 followers 
- 3 startups (+ building 4th)
- $5 revenue

If you are thinking of starting. Just do it.
You will regret not starting earlier.
30
66
2.4K",,,66,30,0,https://twitter.com/tomhan245/status/1949796989941567985,2025-07-28T19:09:33.960156
"Build in Public
Martin Baun
@MartinBaunIT
·
21h
Most people quit right before it compounds...
11
1
22
589",,,22,11,0,https://twitter.com/MartinBaunIT/status/1949507851249942631,2025-07-28T19:15:07.420370
"𝙰𝕪ℓαα☆
@Aylaastar
·
22h
Your first six emoji explains your life right now. 

Shall we ?? 
526
161
601
34K",Aylaastar,,601,526,0,https://twitter.com/Aylaastar/status/1949492546356621528,2025-07-28T19:18:25.215191
"𝐌𝐚𝐭𝐭 𝐏𝐢𝐧𝐧𝐞𝐫
@Matt_Pinner
·
6h
What’s yours?
384
29
131
10K",Matt_Pinner,,131,384,0,https://twitter.com/Matt_Pinner/status/1949726768262209650,2025-07-28T19:23:15.846426
"Mr. Mike
@mrmikeMTL
·
18h
What's one thing you still love from your childhood?
146
39
113
9.1K",mrmikeMTL,,113,146,0,https://twitter.com/mrmikeMTL/status/1949546712311160941,2025-07-28T19:24:37.206553
"Daniel Aros
@thedanielaros
·
2h
Stop comparing your day 1 to someone's day 1000.

Incredibly underrated hack.
23
1
33
470",thedanielaros,,33,23,0,https://twitter.com/thedanielaros/status/1949801265078456366,2025-07-28T19:27:42.045635
"Tokyo
@otokyo__
·
19h
99% will fail to tell the answer
570
30
197
10K",otokyo__,,197,570,0,https://twitter.com/otokyo__/status/1949533765312852126,2025-07-28T19:30:12.282917
"Build in Public
Pedro
@pedrobuilds
·
Jul 27
guys.

i think i did the impossible. 

broke $100 MRR without buying a domain 
89
10
505
39K",,,505,89,0,https://twitter.com/pedrobuilds/status/1949249336891572324,2025-07-28T19:30:57.777739
"Ｗ 𝗜 𝗦 𝗘 𝗖 𝗢 𝗡 𝗡 𝗘 𝗖 𝗧 𝗢 𝗥 ™ 
@wiseconnector
·
21h
In just THREE words
1.6K
126
515
65K",wiseconnector,,515,0,0,https://twitter.com/wiseconnector/status/1949511058747539706,2025-07-28T19:34:59.784764
"Ｗ 𝗜 𝗦 𝗘 𝗖 𝗢 𝗡 𝗡 𝗘 𝗖 𝗧 𝗢 𝗥 ™ 
@wiseconnector
·
14h
What do you see FIRST
2.1K
158
622
35K",wiseconnector,,622,0,0,https://twitter.com/wiseconnector/status/1949619273539690775,2025-07-28T19:48:48.653897
"CeCe
@cecegkh
·
18m
Anybody remember who this was?
50
5
70
1.3K",cecegkh,,70,52,0,https://twitter.com/cecegkh/status/1949832055455416669,2025-07-28T19:50:35.178807
"DisciplineX
@AmbitionFeed
·
1h
Life’s most valuable lessons come from the hardest experiences.
29
3
34
389",AmbitionFeed,,35,29,0,https://twitter.com/AmbitionFeed/status/1949818306380145140,2025-07-28T19:56:42.594625
"Build in Public
Phillip | Academize 
@PhillyJSmith
·
19h
You posted daily.
Engaged nonstop.
Still no audience.

This is where most people stop.
Say it’s saturated.
Blame the algorithm.

Keep posting.
Repetition builds relevance.
37
1
86
2.4K",,,86,37,0,https://twitter.com/PhillyJSmith/status/1949542242701681073,2025-07-28T19:58:28.705122
"Build in Public
Sai Pagidimarri
@SaiPagidimarri
·
Jul 26
Hard to write this.
But we’ve decided to shut down Zapreach.

We spent months building, iterating, and obsessing over the tiniest details.
And still - we have to let it go.

This one hurts. A lot.
60
11
178
25K",,,178,60,0,https://twitter.com/SaiPagidimarri/status/1949115299904561537,2025-07-28T20:01:06.109619
"Hitesh Choudhary
@Hiteshdotcom
·
11h
Today thought on chai,
Your job cannot be you.
28
32
322
9.3K",Hiteshdotcom,,322,28,0,https://twitter.com/Hiteshdotcom/status/1950243616040882379,2025-07-30T09:47:43.931516
"Software Engineering
Ethum Company
@Ethumgroup
·
10h
No brand? Start.

No website? Start.

No credibility?

Start and earn it.
45",,,558,70,0,https://twitter.com/Ethumgroup/status/1950257390416199835,2025-07-30T09:50:58.125968
"Alex Nguyen
@alexcooldev
·
12h
When I built my first app,
I didn’t know how to design.
Didn’t know how to code properly.
Didn’t know how to market either.

The UI sucked.
The app crashed randomly.
No one cared.

But I shipped anyway.
I posted every day.
I fixed 1 bug at a time.
I talked to users.
6 months
Show more
22
7
149
6.2K",alexcooldev,,149,22,0,https://twitter.com/alexcooldev/status/1950220188231880739,2025-07-30T09:51:51.021565
"Content Philosopher
@MoZarrinsadaf
·
11h
A truly free thinker is a threat to every system.
13
57
324
8.1K",MoZarrinsadaf,,324,13,0,https://twitter.com/MoZarrinsadaf/status/1950233431826452544,2025-07-30T09:54:43.383208
"nizzy
@nizzyabi
·
6h
who remembers doge coin?
28
1
59
3.9K",nizzyabi,,59,28,0,https://twitter.com/nizzyabi/status/1950308027472450036,2025-07-30T09:57:36.446105
"Josh tried coding
@joshtriedcoding
·
21h
hear me out

zerodotemail for twitter DMs
12
68
5.2K",joshtriedcoding,,68,12,0,https://twitter.com/joshtriedcoding/status/1950086937626235026,2025-07-30T09:58:42.912778
"Dan Kulkov
@DanKulkov
·
13h
you are not dumb

you just quit after the first marketing problem
35
1
74
4.1K",DanKulkov,,74,35,0,https://twitter.com/DanKulkov/status/1950207602509684871,2025-07-30T10:01:30.922489
"Paul Mit
@pmitu
·
15h
If you can't ship without AI, you're doing something wrong.
23
1
39
2.1K",pmitu,,39,23,0,https://twitter.com/pmitu/status/1950182324559368234,2025-07-30T10:04:17.354451
"Build in Public
Efe Aksoy
@HalilEfeAksoy
·
Jul 30
Even though I work 14+ hours every day, at the end of the day I feel like I haven't done enough, that I haven't done my best. 

Do you feel this way too?
23
3
33
2.8K",,,33,23,0,https://twitter.com/HalilEfeAksoy/status/1950510160998265065,2025-08-01T11:03:05.429438
"Software Engineering
Akshat Jain
@akshatjx
·
21h
 Hey Developers!
I’m looking to #connect with:
 JavaScript
 Full Stack Devs
 Freelancers
 Node.js
 Web3 Enthusiasts
 LeetCode Grinders
 UI/UX Designers
Let’s learn, build & grow together.
If this sounds like you, drop a  or hit follow!
#BuildInPublic #React
39
1
64
3.9K",,,64,39,0,https://twitter.com/akshatjx/status/1950827865630806454,2025-08-01T11:09:55.660843
"Saanvi
@Saaannvvii
·
Jul 30
ChatGpt this 

ChatGpt that

But does it ever text you first ?
223
30
342
27K",Saaannvvii,,342,223,0,https://twitter.com/Saaannvvii/status/1950517370381893849,2025-08-01T11:17:33.575690
"Build in Public
Isaiah Brees
@BreesIsaiah
·
15h
Serious question:

Can you actually write code from scratch without AI anymore?
228
20
187
52K",,,187,228,0,https://twitter.com/BreesIsaiah/status/1950925741127860650,2025-08-01T11:36:36.497746
"Paul Mit
@pmitu
·
22h
Not everything needs AI.
159
26
247
14K",pmitu,,247,159,0,https://twitter.com/pmitu/status/1950828796380352674,2025-08-01T11:42:01.002468
"Build in Public
Roy
@itsanirbanroy
·
20h
Which one is safer? 
Starting a company? 
Or
9-5 job?
194
10
168
22K",,,168,194,0,https://twitter.com/itsanirbanroy/status/1950861779623637089,2025-08-01T11:44:49.487170
"Purnima Vats
@PurnimaaVats
·
15h
I can also draw 
15
59
1K",PurnimaaVats,,59,15,0,https://twitter.com/PurnimaaVats/status/1950929765721927688,2025-08-01T11:45:32.329874
